         x    Result     Exact
    0.0000    0.0000    0.0000
    0.0099    0.1766    0.0844
    0.0198    0.2510    0.1598
    0.0297    0.3175    0.2273
    0.0396    0.3767    0.2874
    0.0495    0.4292    0.3410
    0.0594    0.4758    0.3885
    0.0693    0.5170    0.4307
    0.0792    0.5533    0.4679
    0.0891    0.5852    0.5007
    0.0990    0.6130    0.5295
    0.1089    0.6372    0.5546
    0.1188    0.6580    0.5764
    0.1287    0.6759    0.5952
    0.1386    0.6911    0.6114
    0.1485    0.7039    0.6250
    0.1584    0.7144    0.6365
    0.1683    0.7229    0.6459
    0.1782    0.7296    0.6535
    0.1881    0.7346    0.6595
    0.1980    0.7381    0.6639
    0.2079    0.7403    0.6671
    0.2178    0.7413    0.6689
    0.2277    0.7411    0.6697
    0.2376    0.7400    0.6695
    0.2475    0.7379    0.6683
    0.2574    0.7350    0.6664
    0.2673    0.7314    0.6637
    0.2772    0.7271    0.6603
    0.2871    0.7221    0.6563
    0.2970    0.7167    0.6517
    0.3069    0.7107    0.6466
    0.3168    0.7042    0.6411
    0.3267    0.6974    0.6352
    0.3366    0.6902    0.6289
    0.3465    0.6826    0.6222
    0.3564    0.6747    0.6153
    0.3663    0.6666    0.6080
    0.3762    0.6582    0.6006
    0.3861    0.6496    0.5928
    0.3960    0.6407    0.5849
    0.4059    0.6317    0.5768
    0.4158    0.6225    0.5685
    0.4257    0.6132    0.5601
    0.4356    0.6037    0.5516
    0.4455    0.5941    0.5429
    0.4554    0.5844    0.5341
    0.4653    0.5745    0.5251
    0.4752    0.5646    0.5161
    0.4851    0.5546    0.5071
    0.4950    0.5445    0.4979
    0.5050    0.5344    0.4887
    0.5149    0.5242    0.4794
    0.5248    0.5139    0.4700
    0.5347    0.5036    0.4606
    0.5446    0.4932    0.4512
    0.5545    0.4828    0.4417
    0.5644    0.4724    0.4321
    0.5743    0.4619    0.4226
    0.5842    0.4514    0.4130
    0.5941    0.4408    0.4033
    0.6040    0.4303    0.3937
    0.6139    0.4197    0.3840
    0.6238    0.4091    0.3743
    0.6337    0.3984    0.3646
    0.6436    0.3878    0.3549
    0.6535    0.3771    0.3451
    0.6634    0.3664    0.3353
    0.6733    0.3558    0.3256
    0.6832    0.3450    0.3158
    0.6931    0.3343    0.3060
    0.7030    0.3236    0.2962
    0.7129    0.3129    0.2864
    0.7228    0.3021    0.2765
    0.7327    0.2914    0.2667
    0.7426    0.2806    0.2569
    0.7525    0.2699    0.2470
    0.7624    0.2591    0.2372
    0.7723    0.2483    0.2273
    0.7822    0.2376    0.2175
    0.7921    0.2268    0.2076
    0.8020    0.2160    0.1977
    0.8119    0.2052    0.1879
    0.8218    0.1944    0.1780
    0.8317    0.1837    0.1681
    0.8416    0.1729    0.1582
    0.8515    0.1621    0.1484
    0.8614    0.1513    0.1385
    0.8713    0.1405    0.1286
    0.8812    0.1297    0.1187
    0.8911    0.1189    0.1088
    0.9010    0.1081    0.0989
    0.9109    0.0973    0.0890
    0.9208    0.0865    0.0791
    0.9307    0.0757    0.0693
    0.9406    0.0649    0.0594
    0.9505    0.0540    0.0495
    0.9604    0.0432    0.0396
    0.9703    0.0324    0.0297
    0.9802    0.0216    0.0198
    0.9901    0.0108    0.0099
    1.0000    0.0000    0.0000
