         x    Result     Exact
    0.0000    0.0000    0.0000
    0.0099    0.2504    0.0844
    0.0198    0.3220    0.1598
    0.0297    0.3851    0.2273
    0.0396    0.4408    0.2874
    0.0495    0.4900    0.3410
    0.0594    0.5334    0.3885
    0.0693    0.5715    0.4307
    0.0792    0.6049    0.4679
    0.0891    0.6339    0.5007
    0.0990    0.6592    0.5295
    0.1089    0.6809    0.5546
    0.1188    0.6994    0.5764
    0.1287    0.7151    0.5952
    0.1386    0.7283    0.6114
    0.1485    0.7391    0.6250
    0.1584    0.7477    0.6365
    0.1683    0.7545    0.6459
    0.1782    0.7596    0.6535
    0.1881    0.7630    0.6595
    0.1980    0.7651    0.6639
    0.2079    0.7659    0.6671
    0.2178    0.7656    0.6689
    0.2277    0.7642    0.6697
    0.2376    0.7619    0.6695
    0.2475    0.7587    0.6683
    0.2574    0.7548    0.6664
    0.2673    0.7501    0.6637
    0.2772    0.7449    0.6603
    0.2871    0.7391    0.6563
    0.2970    0.7327    0.6517
    0.3069    0.7260    0.6466
    0.3168    0.7187    0.6411
    0.3267    0.7112    0.6352
    0.3366    0.7033    0.6289
    0.3465    0.6950    0.6222
    0.3564    0.6865    0.6153
    0.3663    0.6778    0.6080
    0.3762    0.6688    0.6006
    0.3861    0.6597    0.5928
    0.3960    0.6503    0.5849
    0.4059    0.6408    0.5768
    0.4158    0.6312    0.5685
    0.4257    0.6214    0.5601
    0.4356    0.6115    0.5516
    0.4455    0.6015    0.5429
    0.4554    0.5914    0.5341
    0.4653    0.5812    0.5251
    0.4752    0.5709    0.5161
    0.4851    0.5606    0.5071
    0.4950    0.5502    0.4979
    0.5050    0.5398    0.4887
    0.5149    0.5293    0.4794
    0.5248    0.5187    0.4700
    0.5347    0.5081    0.4606
    0.5446    0.4975    0.4512
    0.5545    0.4869    0.4417
    0.5644    0.4762    0.4321
    0.5743    0.4655    0.4226
    0.5842    0.4548    0.4130
    0.5941    0.4441    0.4033
    0.6040    0.4333    0.3937
    0.6139    0.4225    0.3840
    0.6238    0.4117    0.3743
    0.6337    0.4010    0.3646
    0.6436    0.3901    0.3549
    0.6535    0.3793    0.3451
    0.6634    0.3685    0.3353
    0.6733    0.3577    0.3256
    0.6832    0.3469    0.3158
    0.6931    0.3360    0.3060
    0.7030    0.3252    0.2962
    0.7129    0.3143    0.2864
    0.7228    0.3035    0.2765
    0.7327    0.2926    0.2667
    0.7426    0.2818    0.2569
    0.7525    0.2710    0.2470
    0.7624    0.2601    0.2372
    0.7723    0.2493    0.2273
    0.7822    0.2384    0.2175
    0.7921    0.2276    0.2076
    0.8020    0.2167    0.1977
    0.8119    0.2059    0.1879
    0.8218    0.1950    0.1780
    0.8317    0.1842    0.1681
    0.8416    0.1733    0.1582
    0.8515    0.1625    0.1484
    0.8614    0.1516    0.1385
    0.8713    0.1408    0.1286
    0.8812    0.1300    0.1187
    0.8911    0.1191    0.1088
    0.9010    0.1083    0.0989
    0.9109    0.0974    0.0890
    0.9208    0.0866    0.0791
    0.9307    0.0758    0.0693
    0.9406    0.0649    0.0594
    0.9505    0.0541    0.0495
    0.9604    0.0433    0.0396
    0.9703    0.0325    0.0297
    0.9802    0.0216    0.0198
    0.9901    0.0108    0.0099
    1.0000    0.0000    0.0000
